ID,画像管理番号,掲載状況,登録区分,素材管理番号,BUD_PHOTO番号,被写体の名称,素材（画像）の詳細内容,撮影時期,撮影時期,掲載期間From,掲載期間To,期間,写真入手元,写真入手元　その他,掲載可能範囲,外部出稿条件付き,要クレジット,要使用許可 ,このアカウントのみ使用可,版権所有者,お客様情報　部署名,お客様情報　名前,新規者のアカント,新規者の名前,許可者のアカント,許可者の名前,許可日,備考,新規日付,画像ファイル名
181001,,2,3,元画像なし,,640×320_東京フリープラン2,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、ハイブリ、火マガ、12/18、東京、フリープラン、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2012/12/19,,2014/1/10,0550_640_320.jpg
181001,,2,3,元画像なし,,220×165_東京フリープラン2,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、ハイブリ、火マガ、12/18、東京、フリープラン、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2012/12/19,,2014/1/10,0550_220_165.jpg
181001,,2,3,元画像なし,,300×225_東京フリープラン2,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、ハイブリ、火マガ、12/18、東京、フリープラン、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2012/12/19,,2014/1/10,0550_300_225.jpg
181001,,2,3,元画像なし,,640×220_東京フリープラン2,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、ハイブリ、火マガ、12/18、東京、フリープラン、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2012/12/19,,2014/1/10,0550_640_220.jpg
181181,,2,3,元画像なし,,640×320_東京フリープラン3,バナー、関西発国内、トラピックス、東京、フリープラン、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/2/15,,2014/1/10,0551_640_320.jpg
181181,,2,3,元画像なし,,220×165_東京フリープラン3,バナー、関西発国内、トラピックス、東京、フリープラン、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/2/15,,2014/1/10,0551_220_165.jpg
181181,,2,3,元画像なし,,300×225_東京フリープラン3,バナー、関西発国内、トラピックス、東京、フリープラン、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/2/15,,2014/1/10,0551_300_225.jpg
181181,,2,3,元画像なし,,640×220_東京フリープラン3,バナー、関西発国内、トラピックス、東京、フリープラン、和田慎也様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/2/15,,2014/1/10,0551_640_220.jpg
181344,,2,3,元画像なし,,640×320_新コース,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、DM、金マガ、新コース、10/25配信、竹原 (三宅) 菜摘様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/10/25,,2014/1/10,0557_640_320.jpg
181344,,2,3,元画像なし,,220×165_新コース,バナー、関西発国内、阪急たびマガ、メールマガジン、メルマガ、DM、金マガ、新コース、10/25配信、竹原 (三宅) 菜摘様,-1,-1,2000/1/1,2100/1/1,mukigen,2,バド制作,1,,,,,,web戦略課,矢内美奈子様,b-n.yano,矢野裕一,,,2013/10/25,,2014/1/10,0557_220_165.jpg
