"ID","画像管理番号","掲載状況","登録区分","素材管理番号","BUD_PHOTO番号","被写体の名称","素材（画像）の詳細内容","撮影時期","撮影時期","掲載期間From","掲載期間To","期間","写真入手元","写真入手元　その他","掲載可能範囲","外部出稿条件付き","要クレジット","要使用許可 ","このアカウントのみ使用可","版権所有者","お客様情報　部署名","お客様情報　名前","新規者のアカント","新規者の名前","許可者のアカント","許可者の名前","許可日","備考","新規日付","画像ファイル名"
"","","2","3","元画像なし","","map_10_RT948NH_コースマップ","マップ、バナー、RT948NH、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=RT948NH&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_RT948NH.jpg"
"","","2","3","元画像なし","","map_10_TT62021_コースマップ","マップ、バナー、TT62021、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=TT62021&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_TT62021.jpg"
"","","2","3","元画像なし","","map_10_UT250_コースマップ","マップ、バナー、UT250、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=UT250&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_UT250.png"
"","","2","3","元画像なし","","map_10_UT347H_コースマップ","マップ、バナー、UT347H、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=UT347H&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_UT347H.png"
"","","2","3","元画像なし","","map_10_UT398R_コースマップ","マップ、バナー、UT398R、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=UT398R&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_UT398R.jpg"
"","","2","3","元画像なし","","map_10_UT530AA_コースマップ","マップ、バナー、UT530AA、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=UT530AA&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_UT530AA.png"
"","","2","3","元画像なし","","map_10_UT724NH_コースマップ","マップ、バナー、UT724NH、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=UT724NH&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_UT724NH.png"
"","","2","3","元画像なし","","map_10_UT729_コースマップ","マップ、バナー、UT729、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=UT729&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_UT729.png"
"","","2","3","元画像なし","","map_10_UT796NW_コースマップ","マップ、バナー、UT796NW、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=UT796NW&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_UT796NW.png"
"","","2","3","元画像なし","","map_10_UT42001_コースマップ","マップ、バナー、UT42001、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=UT42001&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_UT42001.png"
