Target campaign	Target ad group	title1(text)	tour_price(text)	Target location	出発地(text)	Target location restriction	URL	rqUrl	thedate	naigai	
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	2.78万円～	Ehime, Japan	松山発	Physical location	https://www.hankyu-travel.com/korea/myj.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=108&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	3.45万円～	Kochi, Japan	高知発	Physical location	https://www.hankyu-travel.com/korea/kcz.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=110&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	8,900円～	Fukuoka, Japan	福岡発	Physical location	https://www.hankyu-travel.com/korea/fuk.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=104%2C127%2C162&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	8,900円～	Saga, Japan	福岡発	Physical location	https://www.hankyu-travel.com/korea/fuk.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=104%2C127%2C162&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	料金無しのため掲載なし	Nagasaki, Japan	長崎発	Physical location	https://www.hankyu-travel.com/korea/ngs.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=122&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	2.38万円～	Kumamoto, Japan	熊本発	Physical location	https://www.hankyu-travel.com/korea/kmj.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=120&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	料金無しのため掲載なし	Oita, Japan	大分発	Physical location	https://www.hankyu-travel.com/korea/oit.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=121&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	料金無しのため掲載なし	Miyazaki, Japan	宮崎発	Physical location	https://www.hankyu-travel.com/korea/kmi.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=123&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	2.28万円～	Kagoshima, Japan	鹿児島発	Physical location	https://www.hankyu-travel.com/korea/koj.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=116&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国	韓国	料金無しのため掲載なし	Okinawa, Japan	沖縄発	Physical location	https://www.hankyu-travel.com/korea/oka.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-&p_hatsu=106&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル	3.88万円～	Hokkaido, Japan	北海道発	Physical location	https://www.hankyu-travel.com/korea/seoul/spk.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-SEL&p_hatsu=105&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル	5.5万円～	Aomori, Japan	青森発	Physical location	https://www.hankyu-travel.com/korea/seoul/aoj.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-SEL&p_hatsu=117%2C129&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
SC_海外ツアー_000_拠点なし_韓国	SC_海外ツアー_000_拠点なし_アジア/韓国/ソウル	ソウル	6.98万円～	Akita, Japan	東北発	Physical location	https://www.hankyu-travel.com/korea/seoul/sdj.php	http://www.hankyu-travel.com/search/ajax.php?p_mokuteki=AAS-KR-SEL&p_hatsu=126%2C109%2C118%2C141%2C128%2C140%2C125&status=onLoad&p_price_min=1000&MyNaigai=i&kind=GetList&p_rtn_data=p_hatsu_name	2019-02-27	korea
