"p_course_id","p_domestic","p_area_code","p_destination_code","p_course_name","p_course_staff_code","p_course_office_code","p_img1_filepath","p_img2_filepath","p_img3_filepath","p_img4_filepath","p_img5_filepath","p_img6_filepath","p_img7_filepath","p_img8_filepath","p_img9_filepath","p_img10_filepath","p_option_img1_filepath","p_option_img2_filepath","p_option_img3_filepath","p_hotel_img1_filepath","p_hotel_img2_filepath","p_hotel_img3_filepath","p_hotel_img4_filepath","p_hotel_img5_filepath","p_hotel_img6_filepath","p_hotel_img7_filepath","p_hotel_img8_filepath","p_hotel_img9_filepath","p_hotel_img10_filepath","p_hotel_img11_filepath","p_hotel_img12_filepath","p_staff_img_filepath","p_map_img_filepath","p_map_img1_filepath","p_map_img2_filepath","p_map_img3_filepath","p_map_img4_filepath","p_meal1_image1_filepath","p_meal1_image2_filepath","p_meal2_image1_filepath","p_meal2_image2_filepath","p_meal3_image1_filepath","p_meal3_image2_filepath","p_meal4_image1_filepath","p_meal4_image2_filepath","p_meal5_image1_filepath","p_meal5_image2_filepath","p_meal6_image1_filepath","p_meal6_image2_filepath","p_meal7_image1_filepath","p_meal7_image2_filepath","p_meal8_image1_filepath","p_meal8_image2_filepath","p_sch_img1_filepath","p_sch_img2_filepath","p_sch_img3_filepath","p_sightseeing1_img1_filepath","p_sightseeing2_img1_filepath","p_sightseeing2_img2_filepath","p_sightseeing3_img1_filepath","p_sightseeing3_img2_filepath","p_sightseeing3_img3_filepath"
"9H57ZAB","1","12","HWI","＜往復送迎付＞羽田深夜発｜ﾊﾜｲｱﾝ航空で行く♪ﾊﾜｲ5日間｜滞在中ﾄﾛﾘｰ乗り放題♪≪ﾜｲｷｷｻﾝﾄﾞｳﾞｨﾗ滞在≫","110683","5202","00000-ALLUP-42882.jpg","00000-ALLUP-60020.jpg","00000-ALLUP-60017.jpg ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44018K","0","10","KAN","11月～1月出発　南島周辺観光/世界自然遺産「小笠原諸島」6日間","091190","3175","00000-BL17_-00705.jpg","00000-SP16_-20575.jpg","00000-SP16_-20574.jpg","00000-BL17_-00874.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5F5109","0","40","KYS","【タイセイアネックス】レンタカー付！鹿児島フリープラン　3日間","970504","6120","00000-ALLUP-95936.jpg","00000-BP16_-05484.jpg","00000-SP15_-09140.jpg","00000-ALLUP-09971.jpg","00000-ALLUP-09970.jpg","00054-ESP11-12880.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZ3256F","0","10","KNK","羽田発 【関西2空港×フライト時間帯が選べる！】梅田OSホテル(2名1室セミダブルプラン)大阪4日間","130712","3161","00000-ALLUP-86721.jpg","00000-ALLUP-86727.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZ3256G","0","10","KNK","羽田発 【関西2空港×フライト時間帯が選べる！】レム新大阪(2名1室セミダブルプラン) 大阪2日間","130712","3161","00000-ALLUP-86705.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93N3A08","1","12","HNK","＜2名様催行＞羽田午前/香港夕刻発｜ｷｬｾｲ(CX)航空ﾋﾞｼﾞﾈｽｸﾗｽ ﾌﾘｰ/観光選択可！香港3日間＜8ﾃﾞｨｸﾞﾘｰｽﾞ＞","070051","5202","00000-ALLUP-81598.jpg","00000-ALLUP-95223.jpg","00000-ALLUP-60849.jpg","00000-ALLUP-22324.jpg","00000-ALLUP-22325.jpg","","","","","","","","","00000-ALLUP-60849.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9H67ZAB","1","12","HWI","＜往復送迎付＞羽田深夜発｜ﾊﾜｲｱﾝ航空で行く♪ﾊﾜｲ6日間｜滞在中ﾄﾛﾘｰ乗り放題♪≪ﾜｲｷｷｻﾝﾄﾞｳﾞｨﾗ滞在≫","110683","5202","00000-ALLUP-42882.jpg","00000-ALLUP-60020.jpg","00000-ALLUP-60017.jpg ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZ3256H","0","10","KNK","羽田発 【関西2空港×フライト時間帯が選べる！】レム新大阪(2名1室セミダブルプラン)大阪3日間","130712","3161","00000-ALLUP-86705.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"331NB22","0","65","KAN","＜長崎発着WEB限定＞【日本橋ヴィラ】フリープラン東京２日間","056487","3652","00054-ALLUP-75763.jpg","00054-ALLUP-75770.jpg","00054-ALLUP-75767.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9H77ZAB","1","12","HWI","＜往復送迎付＞羽田深夜発｜ﾊﾜｲｱﾝ航空で行く♪ﾊﾜｲ7日間｜滞在中ﾄﾛﾘｰ乗り放題♪≪ﾜｲｷｷｻﾝﾄﾞｳﾞｨﾗ滞在≫","110683","5202","00000-ALLUP-42882.jpg","00000-ALLUP-60020.jpg","00000-ALLUP-60017.jpg ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
