"p_course_id","p_domestic","p_area_code","p_destination_code","p_course_name","p_course_staff_code","p_course_office_code","p_img1_filepath","p_img2_filepath","p_img3_filepath","p_img4_filepath","p_img5_filepath","p_img6_filepath","p_img7_filepath","p_img8_filepath","p_img9_filepath","p_img10_filepath","p_option_img1_filepath","p_option_img2_filepath","p_option_img3_filepath","p_hotel_img1_filepath","p_hotel_img2_filepath","p_hotel_img3_filepath","p_hotel_img4_filepath","p_hotel_img5_filepath","p_hotel_img6_filepath","p_hotel_img7_filepath","p_hotel_img8_filepath","p_hotel_img9_filepath","p_hotel_img10_filepath","p_hotel_img11_filepath","p_hotel_img12_filepath","p_staff_img_filepath","p_map_img_filepath","p_map_img1_filepath","p_map_img2_filepath","p_map_img3_filepath","p_map_img4_filepath","p_meal1_image1_filepath","p_meal1_image2_filepath","p_meal2_image1_filepath","p_meal2_image2_filepath","p_meal3_image1_filepath","p_meal3_image2_filepath","p_meal4_image1_filepath","p_meal4_image2_filepath","p_meal5_image1_filepath","p_meal5_image2_filepath","p_meal6_image1_filepath","p_meal6_image2_filepath","p_meal7_image1_filepath","p_meal7_image2_filepath","p_meal8_image1_filepath","p_meal8_image2_filepath","p_sch_img1_filepath","p_sch_img2_filepath","p_sch_img3_filepath","p_sightseeing1_img1_filepath","p_sightseeing2_img1_filepath","p_sightseeing2_img2_filepath","p_sightseeing3_img1_filepath","p_sightseeing3_img2_filepath","p_sightseeing3_img3_filepath"
"2319J","0","80","KAN","【新千歳空港発着/往復JALで行く！】京成ホテルミラマーレ　千葉フリープラン３日間","081103","3630","00000-ALLUP-08629.jpg","00000-ALLUP-65421.jpg","00000-ALLUP-65419.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F485P2","0","80","HOK","【1泊目立山ﾌﾟﾘﾝｽ/新千歳発着】立山黒部アルペンルートと黒部峡谷トロッコ電車・上高地・白川郷３日間","150518","3630","00000-BL16_-00504.jpg","00000-BP12_-01498.jpg","00000-BP15_-01520.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"F485P3","0","80","HOK","【2泊目ANAｸﾗｳﾝﾌﾟﾗｻﾞ/新千歳発着】立山黒部アルペンルートと黒部峡谷トロッコ電車・上高地・白川郷３日間","150518","3630","00000-BL16_-00504.jpg","00000-BP12_-01498.jpg","00000-BP15_-01520.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QUA5TL5","1","20","USA","＜2ﾃﾞｰ・ﾊﾟｰｸﾎｯﾊﾟｰ・チケット付＞中部発着｜ﾃﾞｨｽﾞﾆｰﾗﾝﾄﾞ・ﾘｿﾞｰﾄ5日間≪ﾃﾞｨｽﾞﾆｰﾗﾝﾄﾞ・ﾎﾃﾙ指定≫","040163","1760","00002-SP17--00101.jpg","00002-SP17--00102.jpg","00002-SP17--00104.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F485P4","0","80","HOK","【1泊目緑翠亭景水/新千歳発着】立山黒部アルペンルートと黒部峡谷トロッコ電車・上高地・白川郷３日間","150518","3630","00000-BL16_-00504.jpg","00000-BP12_-01498.jpg","00000-BP15_-01520.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QUA5TL6","1","20","USA","＜3ﾃﾞｰ・ﾊﾟｰｸﾎｯﾊﾟｰ・チケット付＞中部発着｜ﾃﾞｨｽﾞﾆｰﾗﾝﾄﾞ・ﾘｿﾞｰﾄ6日間≪ﾃﾞｨｽﾞﾆｰﾗﾝﾄﾞ・ﾎﾃﾙ指定≫","040163","1760","00002-SP17--00104.jpg","00002-SP17--00101.jpg","00002-SP17--00107.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"QUA5TL7","1","20","USA","＜4ﾃﾞｰ・ﾊﾟｰｸﾎｯﾊﾟｰ・チケット付＞中部発着｜ﾃﾞｨｽﾞﾆｰﾗﾝﾄﾞ・ﾘｿﾞｰﾄ7日間≪ﾃﾞｨｽﾞﾆｰﾗﾝﾄﾞ・ﾎﾃﾙ指定≫","040163","1760","00002-SP17--00102.jpg","00002-SP17--00106.jpg","00002-SP17--00101.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F485P6","0","80","HOK","【1泊目緑翠亭景水/2泊目ANAｸﾗｳﾝﾌﾟﾗｻﾞ/新千歳発着】アルペンルートとトロッコ電車・上高地・白川郷３日間","150518","3630","00000-BL16_-00504.jpg","00000-BP12_-01498.jpg","00000-BP15_-01520.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
