"p_course_id","p_domestic","p_area_code","p_destination_code","p_course_name","p_course_staff_code","p_course_office_code","p_img1_filepath","p_img2_filepath","p_img3_filepath","p_img4_filepath","p_img5_filepath","p_img6_filepath","p_img7_filepath","p_img8_filepath","p_img9_filepath","p_img10_filepath","p_option_img1_filepath","p_option_img2_filepath","p_option_img3_filepath","p_hotel_img1_filepath","p_hotel_img2_filepath","p_hotel_img3_filepath","p_hotel_img4_filepath","p_hotel_img5_filepath","p_hotel_img6_filepath","p_hotel_img7_filepath","p_hotel_img8_filepath","p_hotel_img9_filepath","p_hotel_img10_filepath","p_hotel_img11_filepath","p_hotel_img12_filepath","p_staff_img_filepath","p_map_img_filepath","p_map_img1_filepath","p_map_img2_filepath","p_map_img3_filepath","p_map_img4_filepath","p_meal1_image1_filepath","p_meal1_image2_filepath","p_meal2_image1_filepath","p_meal2_image2_filepath","p_meal3_image1_filepath","p_meal3_image2_filepath","p_meal4_image1_filepath","p_meal4_image2_filepath","p_meal5_image1_filepath","p_meal5_image2_filepath","p_meal6_image1_filepath","p_meal6_image2_filepath","p_meal7_image1_filepath","p_meal7_image2_filepath","p_meal8_image1_filepath","p_meal8_image2_filepath","p_sch_img1_filepath","p_sch_img2_filepath","p_sch_img3_filepath","p_sightseeing1_img1_filepath","p_sightseeing2_img1_filepath","p_sightseeing2_img2_filepath","p_sightseeing3_img1_filepath","p_sightseeing3_img2_filepath","p_sightseeing3_img3_filepath","p_country_name","p_city_name","p_brand_name"
"93ZN600","1","12","NZY","≪送迎付≫成田発｜ﾆｭｰｼﾞｰﾗﾝﾄﾞ航空で行く♪帆の街・ｵｰｸﾗﾝﾄﾞﾌﾘｰ6日間","150057","5202","00000-BP16_-05369.jpg","00000-BP16_-05557.jpg","00000-EBP07-02956.jpg","00000-BP15_-01109.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ニュージーランド","オークランド","e-very"
"93ZN604","1","12","NZY","≪送迎付≫成田発｜ﾆｭｰｼﾞｰﾗﾝﾄﾞ航空で行く♪南・北島周遊★ｸｲｰﾝｽﾞﾀｳﾝ3泊+ｵｰｸﾗﾝﾄﾞ1泊ﾌﾘｰ6日間","150057","5202","00000-BP16_-04249.jpg","00000-BP16_-05557.jpg","00000-BP15_-01849.jpg","00000-BP15_-01109.jpg","00000-EBP07-02956.jpg","00000-BP16_-05369.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ニュージーランド","オークランド、クイーンズタウン","e-very"
"2J046XX","0","30","THK","【往復新幹線利用】能代七夕・天空の不夜城と東北三大夏祭り 豪華競演　４日間","160105","4187","00000-SP17_-03135.jpg","00133-BL15-00009.jpg","00000-BL14_-00246.jpg","00000-BL18_-00109.jpg","00021-EBP10-00160.jpg","00000-BP13_-00717.jpg","00000-SP17_-00897.jpg","00000-BP16_-04488.jpg","00000-ALLUP-108689.jpg","00000-ALLUP-118925.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","青森県、岩手県、宮城県、秋田県","青森市内、十和田湖・奥入瀬（青森県）、青森県その他、八幡平、仙台市内、角館、能代・八森、田沢湖高原・乳頭温泉郷","トラピックス"
"3H309A2","0","30","KNK","（梅田・なんば発） 第9回 西国三十三所巡礼の旅 〔26・27番〕　日帰り","140060","4117","00709-BL15-00002.jpg","00053-ile__-00000.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","兵庫県","加古川・三木・加西・東条湖、姫路","トラピックス"
"27901A","0","80","OKA","【旭川空港発着】八重山大感謝祭４日間","20078","3630","00021-EBP09-06797.jpg","00000-ALLUP-106809.jpg","00021-EBP09-10332.jpg","00000-BL17_-00355.jpg","00000-SP12_-27716.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","沖縄県","石垣島、西表・由布島・鳩間島","トラピックス"
"27901B","0","80","OKA","【とかち帯広空港発着】八重山大感謝祭４日間","20078","3630","00021-EBP09-06797.jpg","00000-ALLUP-106809.jpg","00021-EBP09-10332.jpg","00000-BL17_-00355.jpg","00000-SP12_-27716.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","沖縄県","石垣島、西表・由布島・鳩間島","トラピックス"
"27901H","0","80","OKA","【函館空港発着】八重山大感謝祭４日間","20078","3630","00021-EBP09-06797.jpg","00000-ALLUP-106809.jpg","00021-EBP09-10332.jpg","00000-BL17_-00355.jpg","00000-SP12_-27716.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","沖縄県","石垣島、西表・由布島・鳩間島","トラピックス"
"27901K","0","80","OKA","【釧路空港発着】八重山大感謝祭４日間","20078","3630","00021-EBP09-06797.jpg","00000-ALLUP-106809.jpg","00021-EBP09-10332.jpg","00000-BL17_-00355.jpg","00000-SP12_-27716.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","沖縄県","石垣島、西表・由布島・鳩間島","トラピックス"
"27901M","0","80","OKA","【女満別空港発着】八重山大感謝祭４日間","20078","3630","00021-EBP09-06797.jpg","00000-ALLUP-106809.jpg","00021-EBP09-10332.jpg","00000-BL17_-00355.jpg","00000-SP12_-27716.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","沖縄県","石垣島、西表・由布島・鳩間島","トラピックス"
"12072","0","10","HKD","新富良野プリンスホテルに泊まる 美瑛・青池と白ひげの滝を巡る 春のデラックス北海道3日間","140343","3148","00000-ALLUP-99238.jpg","00021-EBP10-03592.jpg","00000-ALLUP-100549.jpg","00000-ALLUP-98590.jpg","00000-ALLUP-58840.jpg","00000-ALLUP-100820.jpg","00000-ALLUP-15198.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","北海道","小樽、富良野・美瑛","トラピックス"
"93T4444","1","12","TWN","≪周遊≫成田午前発★ｷｬｾｲﾊﾟｼﾌｨｯｸﾋﾞｼﾞﾈｽｸﾗｽ利用｜台湾新幹線で行く♪高雄・台南と台北4日間＜ﾃﾞﾗｯｸｽﾎﾃﾙ＞","140143","5202","00032-EBP10-04197.jpg","00028-EBP09-04621.jpg","00000-BP16_-08550.jpg","00000-ALLUP-95219.jpg","00003-EBP09-01572.jpg","00709-BP14-00043.jpg","00000-SP15_-30794.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","台湾","高雄、台南、台北","e-very"
"93T4231","1","12","TWN","≪送迎付き≫成田午後発/夕刻帰着★ｷｬｾｲﾊﾟｼﾌｨｯｸ航空利用│台北フリー4日間","140143","5202","00000-BP17_-05637.jpg","00000-ALLUP-101787.jpg","00000-BP17_-06317.jpg","00174-SP11--00193.jpg","00133-BP16-00053.jpg","00709-BP15-00038.jpg","00003-EBP09-01406.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","台湾","台北","e-very"
"93T4301","1","12","TWN","≪送迎付き≫成田昼発/午前帰着★スクート利用│台北フリー4日間","140143","5202","00000-BP17_-05637.jpg","00000-ALLUP-101787.jpg","00709-BP15-00038.jpg","00174-SP11--00193.jpg","00133-BP16-00053.jpg","","00003-EBP09-01406.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","台湾","台北","e-very"
"93T4302","1","12","TWN","≪観光付き≫成田昼発/午前帰着★スクート利用│台北4日間｜2日目市内観光プラン","140143","5202","00174-SP11--00193.jpg","00000-ALLUP-101787.jpg","00133-BP16-00053.jpg","00000-EBP07-00078.jpg","00003-EBP09-01406.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","台湾","台北","e-very"
"93T4304","1","12","TWN","≪送迎付き≫成田昼発/午前帰着★スクート利用│台北フリー4日間＜W台北泊＞","140143","5202","00000-SP12_-01370.jpg","00000-ALLUP-66151.jpg","00000-ALLUP-66152.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","台湾","台北","e-very"
